SMILES
Cc1cc(CN)ncc1Br
Nc1ccc(Br)c(F)c1[N+](=O)[O-]
CCCc1c(Cl)nc(N)nc1Cl
Cc1nc(N)[nH]c(=O)c1Cc1cccc2ccccc12
O=C(O)C1CC(c2ccc(Br)cc2)=NN1
CC1(C)CC2(CCCNC2C#N)CCO1
Cc1nc(N)[nH]c(=O)c1Cc1ccccc1Cl
Cc1nc(N)[nH]c(=O)c1Cc1ccc(Cl)cc1
Cc1ccc(Cc2c(C)nc(N)[nH]c2=O)cc1
Cc1ccc(Cc2c(C)nc(N)[nH]c2=O)c(C)c1
Cc1ccc(C)c(Cc2c(C)nc(N)[nH]c2=O)c1
Nc1nc(O)c(Cc2ccccc2Cl)c(O)n1
Nc1nc(O)c(Cc2ccc(Cl)cc2)c(O)n1
Nc1nc(O)c(Cc2cccc3ccccc23)c(O)n1
CC(C)(C)Nc1ncnc(Cl)c1[N+](=O)[O-]
CCc1c(-c2ccccc2)nc(N)[nH]c1=O
Nc1nc(-c2ccccc2)c(C2CCCC2)c(=O)[nH]1
O=c1[nH]c(Nc2ccc(O)cc2)nc2c1CCCC2
O=c1[nH]c(Nc2ccccn2)nc2c1CCCC2
Cc1ccc(Nc2nc3c(c(=O)[nH]2)CCCC3)nc1
Cc1cccc(Nc2nc3c(c(=O)[nH]2)CCCC3)n1
O=c1[nH]c(Nc2nccs2)nc2c1CCCC2
Cc1nnc(Nc2nc3c(c(=O)[nH]2)CCCC3)s1
Cc1ccc(Nc2nc3c(c(=O)[nH]2)CCC3)cc1
O=c1[nH]c(Nc2ccc(O)cc2)nc2c1CCC2
O=c1[nH]c(Nc2ccc(Br)cc2)nc2c1CCC2
O=c1[nH]c(Nc2ccc(Cl)cc2)nc2c1CCC2
Cc1ccc(Nc2nc3c(c(=O)[nH]2)CCC3)nc1
Cc1cccc(Nc2nc3c(c(=O)[nH]2)CCC3)n1
C/C(=C\c1cc(C)nc(O)n1)c1ccc(N)cc1
C/C(=C\c1ncnc(O)c1C)c1ccc(N)cc1
CC(C)Cc1nc2sc3c(c2c(=O)n1N)CCC3
CC(C)(C)C1CCc2c(sc3ncn(N)c(=O)c23)C1
COc1ccccc1-c1nc2sc3c(c2c(=O)n1N)CC(C)(C)OC3
